,PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,DRAFT_TYPE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG
1327,1729,Ricky Davis,1998,1,21,21,Draft,1610612766,Charlotte,Hornets,CHH,Iowa,College/University,1
1328,1730,Brian Skinner,1998,1,22,22,Draft,1610612746,Los Angeles,Clippers,LAC,Baylor,College/University,1
1329,1731,Tyronn Lue,1998,1,23,23,Draft,1610612743,Denver,Nuggets,DEN,Nebraska,College/University,1
1330,1732,Felipe Lopez,1998,1,24,24,Draft,1610612759,San Antonio,Spurs,SAS,St. John's (NY),College/University,1
1331,1733,Al Harrington,1998,1,25,25,Draft,1610612754,Indiana,Pacers,IND,Saint Patrick,High School,1
1332,1734,Sam Jacobson,1998,1,26,26,Draft,1610612747,Los Angeles,Lakers,LAL,Minnesota,College/University,1
1333,1735,Vladimir Stepania,1998,1,27,27,Draft,1610612760,Seattle,SuperSonics,SEA,KK Olimpija (Slovenia),Other Team/Club,1
1334,1736,Corey Benjamin,1998,1,28,28,Draft,1610612741,Chicago,Bulls,CHI,Oregon State,College/University,1
1335,1737,Nazr Mohammed,1998,1,29,29,Draft,1610612762,Utah,Jazz,UTA,Kentucky,College/University,1
1336,1738,Ansu Sesay,1998,2,1,30,Draft,1610612742,Dallas,Mavericks,DAL,Mississippi,College/University,1
1337,1739,Ruben Patterson,1998,2,2,31,Draft,1610612747,Los Angeles,Lakers,LAL,Cincinnati,College/University,1
1338,1740,Rashard Lewis,1998,2,3,32,Draft,1610612760,Seattle,SuperSonics,SEA,Elsik,High School,1
1339,1741,Jelani McCoy,1998,2,4,33,Draft,1610612760,Seattle,SuperSonics,SEA,California-Los Angeles,College/University,1
1340,1742,Shammond Williams,1998,2,5,34,Draft,1610612741,Chicago,Bulls,CHI,North Carolina,College/University,1
1341,1743,Bruno Sundov,1998,2,6,35,Draft,1610612742,Dallas,Mavericks,DAL,KK Split (Croatia),Other Team/Club,1
1342,1744,Jerome James,1998,2,7,36,Draft,1610612758,Sacramento,Kings,SAC,Florida A&M,College/University,1
1343,1745,Casey Shaw,1998,2,8,37,Draft,1610612755,Philadelphia,76ers,PHI,Toledo,College/University,1
1344,1746,DeMarco Johnson,1998,2,9,38,Draft,1610612752,New York,Knicks,NYK,North Carolina-Charlotte,College/University,1
1345,1747,Rafer Alston,1998,2,10,39,Draft,1610612749,Milwaukee,Bucks,MIL,Fresno State,College/University,1
1346,1748,Korleone Young,1998,2,11,40,Draft,1610612765,Detroit,Pistons,DET,Hargrave Military Academy,High School,1
1347,1749,Cuttino Mobley,1998,2,12,41,Draft,1610612745,Houston,Rockets,HOU,Rhode Island,College/University,1
1348,1750,Miles Simon,1998,2,13,42,Draft,1610612753,Orlando,Magic,ORL,Arizona,College/University,1
1349,1751,Jahidi White,1998,2,14,43,Draft,1610612764,Washington,Wizards,WAS,Georgetown,College/University,1
1350,1752,Sean Marks,1998,2,15,44,Draft,1610612752,New York,Knicks,NYK,California,College/University,1
1351,1753,Toby Bailey,1998,2,16,45,Draft,1610612747,Los Angeles,Lakers,LAL,California-Los Angeles,College/University,1
1352,1754,Andrae Patterson,1998,2,17,46,Draft,1610612750,Minnesota,Timberwolves,MIN,Indiana,College/University,1
1353,1755,Tyson Wheeler,1998,2,18,47,Draft,1610612761,Toronto,Raptors,TOR,Rhode Island,College/University,1
1354,1756,Ryan Stack,1998,2,19,48,Draft,1610612739,Cleveland,Cavaliers,CLE,South Carolina,College/University,1
1355,1757,Cory Carr,1998,2,20,49,Draft,1610612737,Atlanta,Hawks,ATL,Texas Tech,College/University,1
